date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:24	10935/10935	---MCZ	200	added ('OK')	text/html	etag:%222a9e59710344915a07b0d29c8d6f85d4-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/services.html	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/services.html	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:24	18854/18854	---MCZ	200	added ('OK')	text/html	etag:%22b41c18be6cbfd9208f4f1db3521f48ff-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/portfolio.html	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/portfolio.html	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:24	9964/9964	---MCZ	200	added ('OK')	text/html	etag:%220c7dd78c3e5c3a12ce2a1fe5f853cee4-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/resume.html	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/resume.html	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:25	10056/10056	---MCZ	200	added ('OK')	text/html	etag:%225afb3e6e22261f9913613bbcc33a2737-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/testimonials.html	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/testimonials.html	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:26	10458/10458	---MCZ	200	added ('OK')	text/html	etag:%22da0e8ce45e7ca4d75da23dc61cd46ea4-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/contact.html	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/contact.html	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:26	1702/1702	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Apr%202018%2016:01:19%20GMT	https://image.ibb.co/bFbxZx/help.png	C:/NewWebsites/NewCVV/image.ibb.co/bFbxZx/help.png	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:26	97362/97362	---M-Z	200	added ('OK')	application/javascript	etag:W/%22569014b6-17c52%22	https://code.jquery.com/jquery-1.12.0.min.js	C:/NewWebsites/NewCVV/code.jquery.com/jquery-1.12.0.min.js	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:26	36921/36921	---M-Z	200	added ('OK')	application/javascript	etag:48c4b508bed9b9aefb8dbd16ebd5c406cc9eac86-df	https://d33wubrfki0l68.cloudfront.net/js/8d61d52d0ca706a51abc94c5ff82529fac99d054/js/bootstrap.min.js	C:/NewWebsites/NewCVV/d33wubrfki0l68.cloudfront.net/js/8d61d52d0ca706a51abc94c5ff82529fac99d054/js/bootstrap.min.js	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:26	23890/23890	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a0c-5d52%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.js	C:/NewWebsites/NewCVV/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.js	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:27	1312/1312	---M-Z	200	added ('OK')	application/javascript	etag:68d0ce38859f55e427a51254db5906c802720247-df	https://d33wubrfki0l68.cloudfront.net/js/20caedbde9c5a4f3f4c01c0a18896010aa919ea1/js/jquery.countto.js	C:/NewWebsites/NewCVV/d33wubrfki0l68.cloudfront.net/js/20caedbde9c5a4f3f4c01c0a18896010aa919ea1/js/jquery.countto.js	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:27	20088/20088	---M-Z	200	added ('OK')	application/javascript	etag:378c2a0d2dbaf4bb8cd8d837a2914e2cdc210bbe-df	https://d33wubrfki0l68.cloudfront.net/js/fc7275f61682fa1ea733c2987b43c46eda377256/js/jquery.magnific-popup.min.js	C:/NewWebsites/NewCVV/d33wubrfki0l68.cloudfront.net/js/fc7275f61682fa1ea733c2987b43c46eda377256/js/jquery.magnific-popup.min.js	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:27	40447/40447	---MCZ	200	added ('OK')	application/javascript	etag:72dd60a520ec0901c66fe2dcaf1a961e072be6f2-df	https://d33wubrfki0l68.cloudfront.net/bundles/ac0b3f195d5ad9bfdd95b5687cb1848649d19823.js	C:/NewWebsites/NewCVV/d33wubrfki0l68.cloudfront.net/bundles/ac0b3f195d5ad9bfdd95b5687cb1848649d19823.js	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:28	7013/7013	---MCZ	200	added ('OK')	application/javascript	etag:%226c5943ed4764e5960031d7cf871cbaf8-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/js/custom.js	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/js/custom.js	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:28	108/108	---M--	200	added ('OK')	image/png	etag:%225afd4a5e-6c%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/grabbing.png	C:/NewWebsites/NewCVV/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/grabbing.png	(from https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.css)
19:53:29	30167/30167	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Apr%202018%2015:59:27%20GMT	https://image.ibb.co/fRuC1c/skull.png	C:/NewWebsites/NewCVV/image.ibb.co/fRuC1c/skull.png	(from https://pirate-personal-vcard-resume-template.netlify.com/css/styles.css)
19:53:30	3444/3444	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Apr%202018%2016:01:12%20GMT	https://image.ibb.co/hiJBux/hat.png	C:/NewWebsites/NewCVV/image.ibb.co/hiJBux/hat.png	(from https://pirate-personal-vcard-resume-template.netlify.com/css/styles.css)
19:53:31	112964/112964	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2015:59:54%20GMT	https://image.ibb.co/kCnzgc/bg_header1.jpg	C:/NewWebsites/NewCVV/image.ibb.co/kCnzgc/bg_header1.jpg	(from https://pirate-personal-vcard-resume-template.netlify.com/css/styles.css)
19:53:31	57210/57210	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Apr%202018%2016:34:02%20GMT	https://image.ibb.co/jxRRcH/helm.png	C:/NewWebsites/NewCVV/image.ibb.co/jxRRcH/helm.png	(from https://pirate-personal-vcard-resume-template.netlify.com/css/styles.css)
